id,time,day_id,is_weekday,mood,label,mood_5_day_average,circumplex.arousal_5_day_average,circumplex.valence_5_day_average,activity_5_day_average,screen_5_day_average,call_5_day_average,sms_5_day_average,new_appCat.work_5_day_average,new_appCat.recreation_5_day_average,new_appCat.connection_5_day_average,new_appCat.utils_5_day_average,new_appCat.others_5_day_average,most_used_app
AS14.01,2014-03-21,33.0,1,6.2,6.0,,,,,,,,,,,,,0.0767862017147207
AS14.01,2014-03-22,34.0,0,6.4,6.0,,,,,,,,,,,,,0.004762041737615796
AS14.01,2014-03-23,35.0,0,6.8,7.0,,,,,,,,,,,,,0.03396681605022894
AS14.01,2014-03-24,36.0,1,6.0,6.0,,,,,,,,,,,,,0.17874549586315666
AS14.01,2014-03-25,37.0,1,6.75,7.0,,,,,,,,,,,,,0.07555941228603755
AS14.01,2014-03-26,38.0,1,6.6,7.0,0.03846153846153921,1.0,0.1063829787234043,1.0,0.39814706694282853,0.33333333333333326,0.6666666666666667,0.21248884365001652,0.0,0.12918981237444493,0.6669035481145521,0.27129741296884513,0.185129994616232
AS14.01,2014-03-27,39.0,1,7.0,7.0,0.10000000000000053,0.9436619718309858,0.23404255319148948,0.9095279941246822,0.25040429341742476,0.0,0.6666666666666667,0.06183500596181474,0.08234964826806529,0.16934069859378464,0.6844656393531331,0.35343078285534846,0.058464610329852645
AS14.01,2014-03-28,40.0,1,6.4,6.0,0.19230769230769162,0.8873239436619718,0.3297872340425533,0.6957405810991132,0.45375665754147165,0.0,0.6666666666666667,0.0032064794403428576,0.10840380446754433,0.1957971775352163,0.6717136812401264,0.4865954189681001,0.1717118280110744
AS14.01,2014-03-29,41.0,0,8.0,8.0,0.1307692307692303,0.7746478873239436,0.26595744680851063,0.5657512283373102,0.42604338384886187,0.33333333333333326,0.6666666666666667,0.0,0.2970249709626923,0.14305307305757686,0.8166386133028233,0.7723038576939524,0.14224976113786134
AS14.01,2014-03-30,42.0,0,7.5,8.0,0.4384615384615378,0.6901408450704225,0.5851063829787235,0.5360240715481689,0.5588129328995864,0.33333333333333326,1.0,0.08105813220201785,0.3837214521125174,0.1276855274877955,0.5776966705998571,1.0,0.1897396456742406
AS14.01,2014-03-31,43.0,1,7.4,7.0,0.5538461538461528,0.5492957746478874,0.6648936170212767,0.3998505513277538,0.5548977010731778,0.33333333333333326,0.6666666666666667,0.1346280430243243,0.6076308331995295,0.10781170257574513,0.5287834216262944,0.9319313968497137,0.02852586762954551
AS14.01,2014-04-01,44.0,1,6.0,6.0,0.6769230769230754,0.5774647887323944,0.6648936170212765,0.31473622354157904,0.5575613230980229,0.6666666666666667,0.6666666666666667,0.18523959586441052,0.5786011645318958,0.03566330928664807,0.48724952236015373,0.9682996675181413,0.11695146062772813
AS14.01,2014-04-02,45.0,1,6.5,6.0,0.5230769230769221,0.5774647887323944,0.40957446808510656,0.20125889783894035,0.46082416723895003,0.6666666666666667,0.33333333333333337,0.24289228643141536,0.6322071713850779,0.0,0.6837502227605591,0.981983727183919,0.10849512300200678
AS14.01,2014-04-03,46.0,1,6.4,6.0,0.5384615384615374,0.7089201877934272,0.4308510638297871,0.21844208643744734,0.5569277807804766,0.6666666666666667,0.33333333333333337,0.4925071247930398,0.5386213181393726,0.04780289013981526,0.5433308945816847,0.8894275573783895,0.06843873166007167
AS14.01,2014-04-04,47.0,1,6.2,6.0,0.29230769230769127,0.511737089201878,0.11170212765957444,0.16603987976014734,0.43184841140172747,0.6666666666666667,0.0,0.73017312933982,0.4492132089653741,0.03211704025093054,0.492866169141848,0.8087193505579321,0.11115184905671024
AS14.01,2014-04-05,48.0,0,6.8,7.0,0.09230769230769198,0.6103286384976526,0.0,0.380453882087885,0.2146549973328199,1.0,0.33333333333333337,0.8993374210754735,0.3622185888333844,0.03091580817473405,0.4279817982260695,0.8176859133890312,0.18462637949462682
AS14.01,2014-04-06,49.0,0,6.5,6.0,0.0,0.5539906103286385,0.0,0.5144601698523211,0.10888648148668822,0.6666666666666667,0.33333333333333337,1.0,0.3994916968545428,0.016686963934515298,0.7290601205657677,0.7285623692251838,0.09016915036196835
AS14.01,2014-04-07,50.0,1,6.5,6.0,0.07692307692307665,0.42018779342723006,0.15957446808510634,0.36514957663701264,0.08812316879193993,0.6666666666666667,0.33333333333333337,0.996694520767689,0.4311510844410441,0.04933469427617143,0.6199515484245445,0.7269511130811565,0.0693783096903259
AS14.01,2014-04-08,51.0,1,6.6,7.0,0.07692307692307665,0.279342723004695,0.02659574468085102,0.22354679476492734,0.05373078722417057,0.6666666666666667,0.33333333333333337,0.7307926568973456,0.4282925875279249,0.0689916021304886,0.6493372966342089,0.6906091276779297,0.1593079729687917
AS14.01,2014-04-09,52.0,1,7.4,7.0,0.10769230769230731,0.39201877934272306,0.1329787234042552,0.29563470501986633,0.03223134766600044,0.6666666666666667,0.33333333333333337,0.47000665086579474,0.5080476458015335,0.08591995899262572,0.724212778197081,0.7437467628657503,0.11884095887262994
AS14.01,2014-04-10,53.0,1,7.4,7.0,0.29230769230769127,0.2511737089201879,0.3244680851063829,0.27821220232706423,0.0,0.6666666666666667,0.0,0.2913870656410694,0.43461189983176773,0.05236241954404475,1.0,0.8246495676765194,0.14047140742302508
AS14.01,2014-04-11,54.0,1,7.0,7.0,0.38461538461538414,0.2511737089201879,0.38829787234042556,0.16757599957935165,0.11969185841683772,1.0,0.0,0.19493390122316945,0.4540501202675541,0.0730916222934036,0.7128294965090743,0.809033189368802,0.07754505241394577
