id,date,day_id,mood,mood_5_day_average,circumplex.arousal_5_day_average,circumplex.valence_5_day_average,activity_5_day_average,screen_5_day_average,call_5_day_average,sms_5_day_average,appCat.work_5_day_average,appCat.recreation_5_day_average,appCat.utils_5_day_average,appCat.convenience_5_day_average
AS14.01,2014-03-25,37.0,0.84375,0.6614583333333333,0.9295774647887323,0.3125,0.9756493018166963,0.7913351694291577,0.6666666666666667,0.2,0.4373516002062668,0.4179148882632314,0.8862920456735232,0.6696392791186639
AS14.01,2014-03-26,38.0,0.825,0.8372395833333334,1.0,0.41666666666666674,1.0,0.6804621006634258,0.33333333333333326,0.4,0.4895604639020129,0.4092521151586946,0.9168731874262466,0.7170584846918151
AS14.01,2014-03-27,39.0,0.875,0.84765625,0.9436619718309858,0.5000000000000001,0.9526172659392507,0.6020219819874864,0.0,0.4,0.22339558453619712,0.46475499607139464,0.789749574377446,0.6392460670044577
AS14.01,2014-03-28,40.0,0.8,0.8632812499999999,0.8873239436619718,0.5625000000000001,0.8406507848281067,0.7099865422451859,0.0,0.4,0.33132955436191375,0.4889117117071784,0.7195660987454704,0.6150553583221886
AS14.01,2014-03-29,41.0,1.0,0.8528645833333331,0.7746478873239436,0.5208333333333334,0.7725717047518932,0.6952729124311813,0.33333333333333326,0.4,0.34048374937374043,0.5466342833068607,0.909305155766606,0.7598069067367249
AS14.01,2014-03-30,42.0,0.9375,0.9049479166666665,0.6901408450704225,0.7291666666666667,0.7570027566458543,0.7657633935260083,0.33333333333333326,0.6,0.2983114760495075,0.5328532243562322,0.692688105311953,0.8343041991002251
AS14.01,2014-03-31,43.0,0.925,0.9244791666666665,0.5492957746478874,0.7812500000000002,0.6856848541378449,0.7636847047226301,0.33333333333333326,0.4,0.2461026123537614,0.5875506182944845,0.719308312337373,0.7569767191403678
AS14.01,2014-04-01,44.0,0.75,0.9453124999999999,0.5774647887323944,0.78125,0.6411080867805511,0.7650988843995857,0.6666666666666667,0.4,0.23714850240975177,0.5401692487527385,0.766076896080779,0.9694096933123361
AS14.01,2014-04-02,45.0,0.8125,0.9192708333333331,0.5774647887323944,0.6145833333333335,0.5816768196866925,0.7137388496249998,0.6666666666666667,0.2,0.318327932338964,0.5466584403188862,0.9442180865787705,1.0
AS14.01,2014-04-03,46.0,0.8,0.9218749999999999,0.7089201877934272,0.6284722222222222,0.5906761388440547,0.7647625218595525,0.6666666666666667,0.2,0.7586794895540658,0.49356370088128654,0.6872595063612735,0.9199527238411633
AS14.01,2014-04-04,47.0,0.775,0.8802083333333331,0.511737089201878,0.4201388888888889,0.5632316293611022,0.6983549383015403,0.6666666666666667,0.0,0.8819383587255407,0.4584060723139583,0.6415098156492894,0.8634187348853465
AS14.01,2014-04-05,48.0,0.85,0.8463541666666665,0.6103286384976526,0.3472222222222222,0.6755262729130225,0.5830418385899786,1.0,0.2,0.8819383587255407,0.4229912413645824,0.6349272442478014,0.7302893855452419
AS14.01,2014-04-06,49.0,0.8125,0.8307291666666665,0.5539906103286385,0.3472222222222222,0.7457091348290172,0.5268868420566151,0.6666666666666667,0.2,0.848586805300106,0.40368102995947697,0.9078751302626706,0.491430208638919
AS14.01,2014-04-07,50.0,0.8125,0.8437499999999998,0.42018779342723006,0.4513888888888889,0.6675109777048835,0.5158631102488346,0.6666666666666667,0.2,0.6253966953285022,0.4332743222331312,0.7206278222428614,0.5181135998728628
AS14.01,2014-04-08,51.0,0.825,0.8437499999999998,0.279342723004695,0.3645833333333333,0.5933496181683888,0.49760338473163257,0.6666666666666667,0.2,0.2509863856999835,0.4559674658496935,0.8769269438392722,0.5053420934522671
AS14.01,2014-04-09,52.0,0.925,0.8489583333333333,0.39201877934272306,0.4340277777777778,0.6311040842881325,0.48618882583194417,0.6666666666666667,0.2,0.15865945537626017,0.5183367735467571,0.8411201434174627,0.5942214693451094
AS14.01,2014-04-10,53.0,0.925,0.8802083333333331,0.2511737089201879,0.5590277777777778,0.6219794296087237,0.4690764441182503,0.6666666666666667,0.0,0.15865945537626017,0.4936893369863778,1.0,0.7146427088613356
